CC	KO	n_changes	parameter	var_type	variable
0.111967861811	WT		FBA1	flux	ENO_ENO2
0.00101971655537	WT		GLK1	flux	ENO_ENO2
-2.13869236827e-14	WT		GPD1	flux	ENO_ENO2
-2.13869236827e-14	WT		GPD2	flux	ENO_ENO2
0.00302605901429	WT		GPM1	flux	ENO_ENO2
-2.13869236827e-14	WT		HOR2	flux	ENO_ENO2
0.0770842472489	WT		HXK1	flux	ENO_ENO2
1.74850307213	WT		HXK2	flux	ENO_ENO2
0.00105039796013	WT		PDC1	flux	ENO_ENO2
1.17302431853e-05	WT		PDC5	flux	ENO_ENO2
9.23412461391e-06	WT		PDC6	flux	ENO_ENO2
-2.13869236827e-14	WT		PFK1	flux	ENO_ENO2
0.366438049029	WT		PFK2	flux	ENO_ENO2
0.0231848648436	WT		PGI1	flux	ENO_ENO2
0.188315490538	WT		PGK1	flux	ENO_ENO2
-2.13869236827e-14	WT		PGM1	flux	ENO_ENO2
0.364267733778	WT		ADH1	flux	FBA
-9.41189541156e-15	WT		ADH5	flux	FBA
0.0645745131547	WT		CDC19	flux	FBA
0.00298715377498	WT		ENO1	flux	FBA
0.0133609996847	WT		ENO2	flux	FBA
0.105701999017	WT		FBA1	flux	FBA
0.00102698481847	WT		GLK1	flux	FBA
-9.41189541156e-15	WT		GPD1	flux	FBA
-9.41189541156e-15	WT		GPD2	flux	FBA
0.00282975400592	WT		GPM1	flux	FBA
-9.41189541156e-15	WT		HOR2	flux	FBA
0.0732230959101	WT		HXK1	flux	FBA
1.74972910187	WT		HXK2	flux	FBA
0.00134807205279	WT		PDC1	flux	FBA
1.50556600752e-05	WT		PDC5	flux	FBA
1.18517182541e-05	WT		PDC6	flux	FBA
-9.41189541156e-15	WT		PFK1	flux	FBA
0.365651019512	WT		PFK2	flux	FBA
0.0262525273665	WT		PGI1	flux	FBA
0.178339401266	WT		PGK1	flux	FBA
-9.41189541156e-15	WT		PGM1	flux	FBA
-0.627694409359	WT		ADH1	flux	GPD
1.03607969729e-14	WT		ADH5	flux	GPD
-0.0428153616391	WT		CDC19	flux	GPD
-0.0019796182858	WT		ENO1	flux	GPD
-0.00885470074636	WT		ENO2	flux	GPD
0.0236338222824	WT		FBA1	flux	GPD
-0.000212513895656	WT		GLK1	flux	GPD
1.03607969729e-14	WT		GPD1	flux	GPD
1.03607969729e-14	WT		GPD2	flux	GPD
-0.00187533438892	WT		GPM1	flux	GPD
1.03607969729e-14	WT		HOR2	flux	GPD
-0.0161703730764	WT		HXK1	flux	GPD
-0.331038101809	WT		HXK2	flux	GPD
-0.000893505305637	WT		PDC1	flux	GPD
-9.97782072567e-06	WT		PDC5	flux	GPD
-7.85456009837e-06	WT		PDC6	flux	GPD
1.03607969729e-14	WT		PFK1	flux	GPD
-0.10886390157	WT		PFK2	flux	GPD
-0.00685508712221	WT		PGI1	flux	GPD
-0.116995131191	WT		PGK1	flux	GPD
1.03607969729e-14	WT		PGM1	flux	GPD
0.378828526976	WT		ADH1	flux	GPM
-8.59266999071e-14	WT		ADH5	flux	GPM
0.0671280706345	WT		CDC19	flux	GPM
0.00304157716523	WT		ENO1	flux	GPM
0.0133654189095	WT		ENO2	flux	GPM
0.106583077826	WT		FBA1	flux	GPM
0.00103914449075	WT		GLK1	flux	GPM
-8.59266999071e-14	WT		GPD1	flux	GPM
-8.59266999071e-14	WT		GPD2	flux	GPM
0.00528283333338	WT		GPM1	flux	GPM
-8.59266999071e-14	WT		HOR2	flux	GPM
0.0784167233171	WT		HXK1	flux	GPM
1.7805452863	WT		HXK2	flux	GPM
0.00138033718346	WT		PDC1	flux	GPM
1.54157318784e-05	WT		PDC5	flux	GPM
1.21352675459e-05	WT		PDC6	flux	GPM
-8.59266999071e-14	WT		PFK1	flux	GPM
0.373099526278	WT		PFK2	flux	GPM
0.0236892804621	WT		PGI1	flux	GPM
0.180235759337	WT		PGK1	flux	GPM
-8.59266999071e-14	WT		PGM1	flux	GPM
-0.627676979473	WT		ADH1	flux	GPP
5.18039848643e-15	WT		ADH5	flux	GPP
-0.0428489948508	WT		CDC19	flux	GPP
-0.00197907359989	WT		ENO1	flux	GPP
-0.00884424985303	WT		ENO2	flux	GPP
0.0236081972834	WT		FBA1	flux	GPP
-0.00021309720195	WT		GLK1	flux	GPP
5.18039848643e-15	WT		GPD1	flux	GPP
5.18039848643e-15	WT		GPD2	flux	GPP
-0.00187488287786	WT		GPM1	flux	GPP
5.18039848643e-15	WT		HOR2	flux	GPP
-0.0157625615372	WT		HXK1	flux	GPP
-0.331035219622	WT		HXK2	flux	GPP
-0.000893505022926	WT		PDC1	flux	GPP
